set_num,name,subtheme,year_released,pieces,retail_price_usd,current_value_usd,gain_loss_usd,roi_pct,price_per_piece,is_18plus
75277,Boba Fett Helmet,Helmet Collection,2020,625,59.99,110.0,50.01,0.8336,0.096,Yes
75255,Yoda,Buildable Figures,2019,1771,99.99,180.0,80.01,0.8002,0.0565,No
76989,Horizon Forbidden West: Tallneck,Gaming,2022,1222,79.99,130.0,50.010000000000005,0.6252,0.0655,Yes
75274,TIE Fighter Pilot Helmet,Helmet Collection,2020,724,59.99,95.0,35.01,0.5836,0.0829,Yes
75305,Scout Trooper Helmet,Helmet Collection,2021,471,49.99,75.0,25.009999999999998,0.5003,0.1061,Yes
75308,R2-D2,Buildable Figures,2021,2314,199.99,290.0,90.00999999999999,0.4501,0.0864,Yes
42154,2022 Ford GT,Technic,2023,1466,80.0,115.0,35.0,0.4375,0.0546,Yes
75276,Stormtrooper Helmet,Helmet Collection,2020,647,59.99,85.0,25.009999999999998,0.4169,0.0927,Yes
75306,Imperial Probe Droid,Sculptures,2021,683,59.99,85.0,25.009999999999998,0.4169,0.0878,Yes
75351,Princess Leia (Boushh) Helmet,Helmet Collection,2023,670,69.99,96.0,26.010000000000005,0.3716,0.1045,Yes
76191,Infinity Gauntlet,Super Heroes,2021,590,69.99,95.0,25.010000000000005,0.3573,0.1186,Yes
75304,Darth Vader Helmet,Helmet Collection,2021,834,69.99,90.0,20.010000000000005,0.2859,0.0839,Yes
75328,The Mandalorian Helmet,Helmet Collection,2022,584,69.99,90.0,20.010000000000005,0.2859,0.1198,Yes
75329,Death Star Trench Run Diorama,Diorama Collection,2022,665,69.99,90.0,20.010000000000005,0.2859,0.1052,Yes
75330,Dagobah Jedi Training Diorama,Diorama Collection,2022,1000,79.99,100.0,20.010000000000005,0.2502,0.08,Yes
75327,Luke Skywalker (Red Five) Helmet,Helmet Collection,2022,675,69.99,85.0,15.010000000000005,0.2145,0.1037,Yes
75318,Grogu,Buildable Figures,2021,1073,79.99,95.0,15.010000000000005,0.1876,0.0745,No
75339,Death Star Trash Compactor Diorama,Diorama Collection,2022,802,89.99,105.0,15.010000000000005,0.1668,0.1122,Yes
75349,Captain Rex Helmet,Helmet Collection,2023,854,69.99,80.0,10.010000000000005,0.143,0.082,Yes
75353,Endor Speeder Chase Diorama,Diorama Collection,2023,608,79.99,90.0,10.010000000000005,0.1251,0.1316,Yes
75352,Death Star II Throne Room Diorama,Diorama Collection,2023,807,89.99,100.0,10.010000000000005,0.1112,0.1115,Yes
75371,Chewbacca,Buildable Figures,2023,2319,199.99,220.0,20.00999999999999,0.1001,0.0862,Yes
71426,Piranha Plant,Super Mario,2023,540,59.99,65.0,5.009999999999998,0.0835,0.1111,Yes
75381,Droideka,25th Anniversary,2024,583,64.99,70.0,5.010000000000005,0.0771,0.1115,Yes
75380,Mos Espa Podrace Diorama,Diorama Collection,2024,718,79.99,85.0,5.010000000000005,0.0626,0.1114,Yes
75376,Tantive IV,25th Anniversary,2024,654,99.99,105.0,5.010000000000005,0.0501,0.1529,Yes
75375,Millennium Falcon,25th Anniversary,2024,921,119.99,125.0,5.010000000000005,0.0418,0.1303,Yes
75398,C-3PO,Buildable Figures,2024,1138,149.99,155.0,5.009999999999991,0.0334,0.1318,Yes
21265,The Crafting Table,Minecraft,2024,1195,89.99,90.0,0.010000000000005116,0.0001,0.0753,Yes
72046,Game Boy,Nintendo,2025,1441,119.99,119.99,0.0,0.0,0.0833,Yes
