theme,set_count,avg_pieces,total_pieces
City,380,249.0,94451
Star Wars,344,443.0,152256
Friends,339,281.0,95398
Ninjago,326,289.0,94078
Collectible Minifigures,320,9.0,2759
Books,318,17.0,5364
Super Heroes Marvel,209,400.0,83528
LEGO Brand Store,196,44.0,8584
Disney,180,309.0,55676
Creator,166,355.0,58984
Seasonal,164,201.0,33006
Promotional,157,137.0,21486
Duplo,148,42.0,6273
Brickheadz,141,220.0,31006
Other,139,138.0,19233
Super Mario,136,282.0,38328
Technic,120,987.0,118411
Minecraft,114,260.0,29624
Harry Potter,104,728.0,75667
Jurassic World,93,217.0,20136
